time stamp,penguin x,penguin y
2023年6月30日11時50分7秒0f,0,0
2023年6月30日11時50分7秒1f,0.00167391,0.001673907
2023年6月30日11時50分7秒2f,0.004707749,0.004707746
2023年6月30日11時50分7秒3f,0.007913369,0.009614304
2023年6月30日11時50分7秒4f,0.01156441,0.01721746
2023年6月30日11時50分7秒5f,0.0156941,0.02428691
2023年6月30日11時50分7秒6f,0.02315546,0.03570504
2023年6月30日11時50分7秒7f,0.03021336,0.04574514
2023年6月30日11時50分7秒8f,0.04169539,0.0612593
2023年6月30日11時50分7秒9f,0.05130686,0.07375833
2023年6月30日11時50分7秒10f,0.06438307,0.09026703
2023年6月30日11時50分7秒11f,0.08180147,0.1117452
2023年6月30日11時50分7秒12f,0.0981711,0.1315456
2023年6月30日11時50分7秒13f,0.1138498,0.1502093
2023年6月30日11時50分7秒14f,0.1340938,0.1739842
2023年6月30日11時50分7秒15f,0.1557692,0.1991476
2023年6月30日11時50分7秒16f,0.178646,0.2254412
2023年6月30日11時50分7秒17f,0.204456,0.2548479
2023年6月30日11時50分7秒18f,0.2317719,0.2857312
2023年6月30日11時50分7秒19f,0.2605605,0.3180572
2023年6月30日11時50分7秒20f,0.2869424,0.3475
2023年6月30日11時50分7秒21f,0.3175355,0.3814549
2023年6月30日11時50分7秒22f,0.3566306,0.4246306
2023年6月30日11時50分7秒23f,0.3879474,0.4590598
2023年6月30日11時50分7秒24f,0.4277549,0.502643
2023年6月30日11時50分7秒25f,0.4623483,0.5439816
2023年6月30日11時50分7秒26f,0.4946734,0.5861712
2023年6月30日11時50分7秒27f,0.5283625,0.6342455
2023年6月30日11時50分7秒28f,0.5596972,0.6815627
2023年6月30日11時50分7秒29f,0.5875543,0.72602
2023年6月30日11時50分7秒30f,0.6163378,0.7745093
2023年6月30日11時50分7秒31f,0.6464476,0.8279935
2023年6月30日11時50分7秒32f,0.6756082,0.8825538
2023年6月30日11時50分7秒33f,0.7027243,0.9359419
2023年6月30日11時50分7秒34f,0.7293387,0.9942726
2023年6月30日11時50分7秒35f,0.7549825,1.056402
2023年6月30日11時50分7秒36f,0.7838448,1.133245
2023年6月30日11時50分7秒37f,0.8065686,1.19939
2023年6月30日11時50分7秒38f,0.8319744,1.279881
2023年6月30日11時50分7秒39f,0.8595304,1.374534
2023年6月30日11時50分7秒40f,0.882755,1.460725
2023年6月30日11時50分8秒41f,0.9049645,1.549504
2023年6月30日11時50分8秒42f,0.9310749,1.661611
2023年6月30日11時50分8秒43f,0.9506835,1.751816
2023年6月30日11時50分8秒44f,0.974218,1.867551
2023年6月30日11時50分8秒45f,0.9950331,1.97675
2023年6月30日11時50分8秒46f,1.019628,2.114135
2023年6月30日11時50分8秒47f,1.039144,2.230012
2023年6月30日11時50分8秒48f,1.058725,2.353388
2023年6月30日11時50分8秒49f,1.085961,2.535242
2023年6月30日11時50分8秒50f,1.096255,2.629937
2023年6月30日11時50分8秒51f,1.118759,2.791323
2023年6月30日11時50分8秒52f,1.141472,2.926417
2023年6月30日11時50分8秒53f,1.170063,3.073064
2023年6月30日11時50分8秒54f,1.210482,3.256687
2023年6月30日11時50分8秒55f,1.244803,3.397489
2023年6月30日11時50分8秒56f,1.293691,3.581284
2023年6月30日11時50分8秒57f,1.341336,3.747313
2023年6月30日11時50分8秒58f,1.404119,3.951969
2023年6月30日11時50分8秒59f,1.463878,4.135557
2023年6月30日11時50分8秒60f,1.527833,4.321874
2023年6月30日11時50分8秒61f,1.590452,4.49577
2023年6月30日11時50分8秒62f,1.671627,4.711604
2023年6月30日11時50分8秒63f,1.751721,4.916285
2023年6月30日11時50分8秒64f,1.837769,5.128327
2023年6月30日11時50分8秒65f,1.926027,5.338654
2023年6月30日11時50分8秒66f,2.026791,5.571464
2023年6月30日11時50分8秒67f,2.110351,5.759063
2023年6月30日11時50分8秒68f,2.222822,6.004917
2023年6月30日11時50分8秒69f,2.342561,6.260213
2023年6月30日11時50分8秒70f,2.443286,6.470022
2023年6月30日11時50分8秒71f,2.581225,6.751135
2023年6月30日11時50分8秒72f,2.684092,6.948294
2023年6月30日11時50分8秒73f,2.836379,7.234814
2023年6月30日11時50分8秒74f,2.960557,7.455216
2023年6月30日11時50分8秒75f,3.099531,7.698041
2023年6月30日11時50分8秒76f,3.243306,7.935656
2023年6月30日11時50分8秒77f,3.391904,8.180139
2023年6月30日11時50分8秒78f,3.542814,8.427334
2023年6月30日11時50分8秒79f,3.696991,8.678788
2023年6月30日11時50分8秒80f,3.840458,8.911783
2023年6月30日11時50分8秒81f,3.982567,9.14161
2023年6月30日11時50分8秒82f,4.150608,9.408652
2023年6月30日11時50分8秒83f,4.300901,9.64655
2023年6月30日11時50分8秒84f,4.463294,9.899191
2023年6月30日11時50分8秒85f,4.629342,10.15656
2023年6月30日11時50分8秒86f,4.803003,10.42117
2023年6月30日11時50分8秒87f,4.959253,10.65841
2023年6月30日11時50分8秒88f,5.114069,10.88955
2023年6月30日11時50分8秒89f,5.272502,11.12531
2023年6月30日11時50分8秒90f,5.470253,11.4147
2023年6月30日11時50分8秒91f,5.615852,11.62712
2023年6月30日11時50分8秒92f,5.808986,11.90428
2023年6月30日11時50分8秒93f,5.958477,12.11818
2023年6月30日11時50分8秒94f,6.136073,12.36819
2023年6月30日11時50分8秒95f,6.30769,12.60913
2023年6月30日11時50分8秒96f,6.50827,12.88623
2023年6月30日11時50分8秒97f,6.662123,13.09823
