time stamp,penguin x,penguin y
2023年7月11日17時21分47秒0f,0,0
2023年7月11日17時21分47秒1f,0,0.001549318
2023年7月11日17時21分47秒2f,0,0.005054079
2023年7月11日17時21分47秒3f,0,0.009937957
2023年7月11日17時21分47秒4f,0,0.0176704
2023年7月11日17時21分47秒5f,0,0.02454665
2023年7月11日17時21分47秒6f,0,0.03505175
2023年7月11日17時21分47秒7f,0,0.04629718
2023年7月11日17時21分47秒8f,0,0.05903638
2023年7月11日17時21分47秒9f,0,0.07438147
2023年7月11日17時21分47秒10f,0,0.09219897
2023年7月11日17時21分47秒11f,0,0.109928
2023年7月11日17時21分47秒12f,0,0.1292667
2023年7月11日17時21分47秒13f,0,0.151285
2023年7月11日17時21分47秒14f,-0.00163329,0.174151
2023年7月11日17時21分47秒15f,-0.005101729,0.2001643
2023年7月11日17時21分47秒16f,-0.01017881,0.2272421
2023年7月11日17時21分47秒17f,-0.01687117,0.2556846
2023年7月11日17時21分47秒18f,-0.02508542,0.2852559
2023年7月11日17時21分47秒19f,-0.0350474,0.3168022
2023年7月11日17時21分47秒20f,-0.04680313,0.35039
2023年7月11日17時21分47秒21f,-0.06024377,0.3856717
2023年7月11日17時21分47秒22f,-0.07470993,0.4210334
2023年7月11日17時21分47秒23f,-0.09093403,0.4583489
2023年7月11日17時21分47秒24f,-0.1094421,0.4987301
2023年7月11日17時21分47秒25f,-0.1298223,0.5411888
2023年7月11日17時21分47秒26f,-0.1529755,0.5874953
2023年7月11日17時21分47秒27f,-0.1748318,0.6296467
2023年7月11日17時21分47秒28f,-0.1992959,0.675313
2023年7月11日17時21分47秒29f,-0.2261927,0.7240635
2023年7月11日17時21分47秒30f,-0.2532933,0.771888
2023年7月11日17時21分47秒31f,-0.2850667,0.8266088
2023年7月11日17時21分47秒32f,-0.3162052,0.8790526
2023年7月11日17時21分47秒33f,-0.3496676,0.9342656
2023年7月11日17時21分47秒34f,-0.3853968,0.9921129
