time stamp,penguin x,penguin y
2023年6月30日11時50分20秒0f,0,0
2023年6月30日11時50分21秒1f,0.001742691,0.001742691
2023年6月30日11時50分21秒2f,0.005151311,0.005151311
2023年6月30日11時50分21秒3f,0.01024825,0.01024825
2023年6月30日11時50分21秒4f,0.01684409,0.01684409
2023年6月30日11時50分21秒5f,0.02396034,0.02396034
2023年6月30日11時50分21秒6f,0.03530658,0.03530658
2023年6月30日11時50分21秒7f,0.04704573,0.04704572
2023年6月30日11時50分21秒8f,0.05999797,0.05999796
2023年6月30日11時50分21秒9f,0.07481989,0.07481989
2023年6月30日11時50分21秒10f,0.08900733,0.09255419
2023年6月30日11時50分21秒11f,0.1006013,0.1088212
2023年6月30日11時50分21秒12f,0.1131355,0.1283978
2023年6月30日11時50分21秒13f,0.1254839,0.1497178
2023年6月30日11時50分21秒14f,0.1391015,0.1755542
2023年6月30日11時50分21秒15f,0.1505375,0.1992758
2023年6月30日11時50分21秒16f,0.1625143,0.2263165
2023年6月30日11時50分21秒17f,0.1742855,0.2551299
2023年6月30日11時50分21秒18f,0.1858542,0.2857254
2023年6月30日11時50分21秒19f,0.1994536,0.3188263
2023年6月30日11時50分21秒20f,0.2133741,0.3504419
2023年6月30日11時50分21秒21f,0.2298028,0.3856245
2023年6月30日11時50分21秒22f,0.2466471,0.4199174
2023年6月30日11時50分21秒23f,0.2680467,0.461607
2023年6月30日11時50分21秒24f,0.2883475,0.4996528
2023年6月30日11時50分21秒25f,0.3123776,0.5431663
2023年6月30日11時50分21秒26f,0.3364559,0.5854485
2023年6月30日11時50分21秒27f,0.3624866,0.6299143
2023年6月30日11時50分21秒28f,0.3872399,0.6767255
2023年6月30日11時50分21秒29f,0.411873,0.7284679
2023年6月30日11時50分21秒30f,0.4344482,0.7785237
2023年6月30日11時50分21秒31f,0.4561074,0.8291622
2023年6月30日11時50分21秒32f,0.4781277,0.8833901
2023年6月30日11時50分21秒33f,0.4978108,0.9374889
2023年6月30日11時50分21秒34f,0.5196354,1.003944
2023年6月30日11時50分21秒35f,0.5404992,1.073888
2023年6月30日11時50分21秒36f,0.5592373,1.142678
2023年6月30日11時50分21秒37f,0.5768761,1.213259
2023年6月30日11時50分21秒38f,0.5985416,1.307368
2023年6月30日11時50分21秒39f,0.6159891,1.389342
2023年6月30日11時50分21秒40f,0.63541,1.48772
2023年6月30日11時50分21秒41f,0.6539859,1.588882
2023年6月30日11時50分21秒42f,0.6709179,1.687758
2023年6月30日11時50分21秒43f,0.6885687,1.798024
2023年6月30日11時50分21秒44f,0.7045789,1.904792
2023年6月30日11時50分21秒45f,0.7223544,2.031089
2023年6月30日11時50分21秒46f,0.7396079,2.161463
2023年6月30日11時50分21秒47f,0.7500759,2.245451
2023年6月30日11時50分21秒48f,0.7672242,2.391314
2023年6月30日11時50分21秒49f,0.7822134,2.526292
2023年6月30日11時50分21秒50f,0.7998195,2.693918
2023年6月30日11時50分21秒51f,0.814316,2.839668
2023年6月30日11時50分21秒52f,0.829056,2.995988
2023年6月30日11時50分21秒53f,0.842899,3.150676
2023年6月30日11時50分21秒54f,0.8559944,3.304712
2023年6月30日11時50分21秒55f,0.8714896,3.496389
2023年6月30日11時50分21秒56f,0.8837238,3.655402
2023年6月30日11時50分21秒57f,0.8981746,3.852587
2023年6月30日11時50分21秒58f,0.9089485,4.006807
2023年6月30日11時50分21秒59f,0.922601,4.211657
2023年6月30日11時50分21秒60f,0.9353767,4.412456
2023年6月30日11時50分22秒61f,0.9471902,4.606821
2023年6月30日11時50分22秒62f,0.9543637,4.813582
2023年6月30日11時50分22秒63f,0.9661443,5.017178
2023年6月30日11時50分22秒64f,0.9836468,5.236113
2023年6月30日11時50分22秒65f,1.005952,5.456931
2023年6月30日11時50分22秒66f,1.033643,5.685511
2023年6月30日11時50分22秒67f,1.063873,5.90085
2023年6月30日11時50分22秒68f,1.101695,6.139017
2023年6月30日11時50分22秒69f,1.141944,6.367117
2023年6月30日11時50分22秒70f,1.190164,6.616475
2023年6月30日11時50分22秒71f,1.237999,6.844677
2023年6月30日11時50分22秒72f,1.302218,7.118566
2023年6月30日11時50分22秒73f,1.362489,7.359761
2023年6月30日11時50分22秒74f,1.418017,7.596585
2023年6月30日11時50分22秒75f,1.46907,7.840137
2023年6月30日11時50分22秒76f,1.519427,8.086654
2023年6月30日11時50分22秒77f,1.563773,8.312685
2023年6月30日11時50分22秒78f,1.618761,8.600941
2023年6月30日11時50分22秒79f,1.660916,8.831587
2023年6月30日11時50分22秒80f,1.708811,9.097191
2023年6月30日11時50分22秒81f,1.749851,9.33099
2023年6月30日11時50分22秒82f,1.793314,9.58196
2023年6月30日11時50分22秒83f,1.830157,9.800504
2023年6月30日11時50分22秒84f,1.877722,10.08648
2023年6月30日11時50分22秒85f,1.916011,10.32297
2023年6月30日11時50分22秒86f,1.953806,10.55957
2023年6月30日11時50分22秒87f,1.993907,10.81747
2023年6月30日11時50分22秒88f,2.029345,11.04846
2023年6月30日11時50分22秒89f,2.06559,11.29117
2023年6月30日11時50分22秒90f,2.102179,11.5395
2023年6月30日11時50分22秒91f,2.140799,11.80155
2023年6月30日11時50分22秒92f,2.173051,12.02947
