time stamp,penguin x,penguin y
2023年6月30日11時51分31秒0f,0,0
2023年6月30日11時51分31秒1f,0.00169851,0.00169851
2023年6月30日11時51分31秒2f,0.005339172,0.005339168
2023年6月30日11時51分31秒3f,0.01384947,0.01384947
2023年6月30日11時51分31秒4f,0.02541651,0.02541651
2023年6月30日11時51分31秒5f,0.0435301,0.0435301
2023年6月30日11時51分31秒6f,0.06825116,0.06825116
2023年6月30日11時51分31秒7f,0.09702486,0.09702486
2023年6月30日11時51分31秒8f,0.1307845,0.1307845
2023年6月30日11時51分31秒9f,0.1697209,0.1697209
2023年6月30日11時51分31秒10f,0.2107437,0.2107437
2023年6月30日11時51分31秒11f,0.2631867,0.2631867
2023年6月30日11時51分31秒12f,0.319813,0.319813
2023年6月30日11時51分31秒13f,0.3662723,0.3662723
2023年6月30日11時51分31秒14f,0.4328532,0.4328532
2023年6月30日11時51分31秒15f,0.5076475,0.5076475
2023年6月30日11時51分31秒16f,0.5713568,0.5713568
2023年6月30日11時51分31秒17f,0.6491681,0.6491681
2023年6月30日11時51分31秒18f,0.7357832,0.7357832
2023年6月30日11時51分31秒19f,0.8195958,0.8195958
2023年6月30日11時51分31秒20f,0.9043743,0.9145477
2023年6月30日11時51分31秒21f,0.98417,1.014717
2023年6月30日11時51分31秒22f,1.062321,1.124839
2023年6月30日11時51分31秒23f,1.130084,1.232268
2023年6月30日11時51分31秒24f,1.192392,1.343766
2023年6月30日11時51分31秒25f,1.247261,1.455072
2023年6月30日11時51分31秒26f,1.309118,1.598117
2023年6月30日11時51分31秒27f,1.35787,1.717821
2023年6月30日11時51分31秒28f,1.409143,1.851289
2023年6月30日11時51分31秒29f,1.45763,1.984909
2023年6月30日11時51分31秒30f,1.501274,2.112074
2023年6月30日11時51分31秒31f,1.559082,2.289942
2023年6月30日11時51分31秒32f,1.603757,2.434935
2023年6月30日11時51分31秒33f,1.652319,2.601005
2023年6月30日11時51分31秒34f,1.699002,2.769047
2023年6月30日11時51分31秒35f,1.741843,2.931229
2023年6月30日11時51分31秒36f,1.783695,3.097701
2023年6月30日11時51分31秒37f,1.822656,3.260393
2023年6月30日11時51分31秒38f,1.866959,3.454468
2023年6月30日11時51分31秒39f,1.908203,3.643856
2023年6月30日11時51分31秒40f,1.946211,3.826673
2023年6月30日11時51分31秒41f,1.990949,4.051929
2023年6月30日11時51分31秒42f,2.022952,4.220501
2023年6月30日11時51分31秒43f,2.071753,4.48925
2023年6月30日11時51分31秒44f,2.1048,4.679411
2023年6月30日11時51分32秒45f,2.131892,4.83973
2023年6月30日11時51分32秒46f,2.173686,5.094055
2023年6月30日11時51分32秒47f,2.206298,5.29811
2023年6月30日11時51分32秒48f,2.244756,5.545532
2023年6月30日11時51分32秒49f,2.27668,5.756696
2023年6月30日11時51分32秒50f,2.30723,5.964447
2023年6月30日11時51分32秒51f,2.340731,6.198644
2023年6月30日11時51分32秒52f,2.370067,6.409463
2023年6月30日11時51分32秒53f,2.405773,6.673226
2023年6月30日11時51分32秒54f,2.433505,6.883788
2023年6月30日11時51分32秒55f,2.45983,7.089225
2023年6月30日11時51分32秒56f,2.492761,7.353345
2023年6月30日11時51分32秒57f,2.521949,7.593925
2023年6月30日11時51分32秒58f,2.546931,7.805536
2023年6月30日11時51分32秒59f,2.578967,8.084376
2023年6月30日11時51分32秒60f,2.603509,8.303879
2023年6月30日11時51分32秒61f,2.626811,8.51802
2023年6月30日11時51分32秒62f,2.65387,8.773516
2023年6月30日11時51分32秒63f,2.681423,9.044433
2023年6月30日11時51分32秒64f,2.705825,9.284342
2023年6月30日11時51分32秒65f,2.728566,9.517162
2023年6月30日11時51分32秒66f,2.752529,9.762463
2023年6月30日11時51分32秒67f,2.778472,10.03902
2023年6月30日11時51分32秒68f,2.797597,10.24287
2023年6月30日11時51分32秒69f,2.822248,10.51649
2023年6月30日11時51分32秒70f,2.842366,10.73976
2023年6月30日11時51分32秒71f,2.866907,11.02339
2023年6月30日11時51分32秒72f,2.886097,11.24515
2023年6月30日11時51分32秒73f,2.904742,11.46953
2023年6月30日11時51分32秒74f,2.927445,11.7427
2023年6月30日11時51分32秒75f,2.940567,11.95676
2023年6月30日11時51分32秒76f,2.952765,12.24709
2023年6月30日11時51分32秒77f,2.95797,12.49455
2023年6月30日11時51分32秒78f,2.958184,12.72731
2023年6月30日11時51分32秒79f,2.953952,12.9473
2023年6月30日11時51分32秒80f,2.942508,13.23215
2023年6月30日11時51分32秒81f,2.929401,13.45241
2023年6月30日11時51分32秒82f,2.909904,13.6923
2023年6月30日11時51分32秒83f,2.884804,13.94387
2023年6月30日11時51分32秒84f,2.8574,14.16781
2023年6月30日11時51分32秒85f,2.817364,14.45371
2023年6月30日11時51分32秒86f,2.778037,14.69429
2023年6月30日11時51分32秒87f,2.729447,14.96377
2023年6月30日11時51分32秒88f,2.685904,15.17663
2023年6月30日11時51分32秒89f,2.634385,15.41019
2023年6月30日11時51分32秒90f,2.576424,15.64613
2023年6月30日11時51分32秒91f,2.498121,15.94632
2023年6月30日11時51分32秒92f,2.428906,16.1877
2023年6月30日11時51分32秒93f,2.368894,16.387
