time stamp,penguin x,penguin y
2023年6月30日11時38分43秒0f,0,0
2023年6月30日11時38分43秒1f,0,0.001685202
2023年6月30日11時38分43秒2f,0,0.004908085
2023年6月30日11時38分43秒3f,0,0.009556763
2023年6月30日11時38分43秒4f,0,0.0169132
2023年6月30日11時38分43秒5f,0,0.02516741
2023年6月30日11時38分43秒6f,0,0.03852668
2023年6月30日11時38分43秒7f,0,0.05453894
2023年6月30日11時38分44秒8f,0,0.07963885
2023年6月30日11時38分44秒9f,0,0.1058498
2023年6月30日11時38分44秒10f,0,0.1410412
2023年6月30日11時38分44秒11f,0,0.1812024
2023年6月30日11時38分44秒12f,0,0.2255228
2023年6月30日11時38分44秒13f,0,0.2694407
2023年6月30日11時38分44秒14f,0,0.3265959
2023年6月30日11時38分44秒15f,0,0.3817653
2023年6月30日11時38分44秒16f,0,0.4504457
2023年6月30日11時38分44秒17f,0,0.5089195
2023年6月30日11時38分44秒18f,0,0.5835519
2023年6月30日11時38分44秒19f,0,0.6740217
2023年6月30日11時38分44秒20f,0,0.7486042
2023年6月30日11時38分44秒21f,0.0053832,0.8437074
2023年6月30日11時38分44秒22f,0.01427214,0.9266709
2023年6月30日11時38分44秒23f,0.02999919,1.02977
2023年6月30日11時38分44秒24f,0.04947687,1.130405
2023年6月30日11時38分44秒25f,0.07410552,1.237129
2023年6月30日11時38分44秒26f,0.1070113,1.36144
2023年6月30日11時38分44秒27f,0.1389991,1.46959
2023年6月30日11時38分44秒28f,0.1765054,1.585234
2023年6月30日11時38分44秒29f,0.2227985,1.717255
2023年6月30日11時38分44秒30f,0.2730455,1.851247
2023年6月30日11時38分44秒31f,0.3257006,1.983683
2023年6月30日11時38分44秒32f,0.3867713,2.129574
2023年6月30日11時38分44秒33f,0.4595321,2.295618
2023年6月30日11時38分44秒34f,0.5259802,2.441171
2023年6月30日11時38分44秒35f,0.5965096,2.590067
2023年6月30日11時38分44秒36f,0.6701243,2.761835
2023年6月30日11時38分44秒37f,0.7393938,2.941225
2023年6月30日11時38分44秒38f,0.7947963,3.101277
2023年6月30日11時38分44秒39f,0.8469238,3.270296
2023年6月30日11時38分44秒40f,0.9027517,3.474998
2023年6月30日11時38分44秒41f,0.9449147,3.651458
2023年6月30日11時38分44秒42f,0.9879254,3.840016
2023年6月30日11時38分44秒43f,1.031321,4.039165
2023年6月30日11時38分44秒44f,1.075878,4.253076
2023年6月30日11時38分44秒45f,1.113945,4.444143
2023年6月30日11時38分44秒46f,1.157488,4.672513
2023年6月30日11時38分44秒47f,1.194237,4.873793
2023年6月30日11時38分44秒48f,1.240044,5.135662
2023年6月30日11時38分44秒49f,1.275598,5.344621
2023年6月30日11時38分44秒50f,1.309727,5.550807
2023年6月30日11時38分44秒51f,1.349984,5.800806
2023年6月30日11時38分44秒52f,1.384962,6.024075
2023年6月30日11時38分44秒53f,1.418603,6.244775
