time stamp,penguin x,penguin y
2023年7月11日17時26分8秒0f,0,0
2023年7月11日17時26分8秒1f,0.0008157268,0
2023年7月11日17時26分8秒2f,0.002467347,0
2023年7月11日17時26分8秒3f,0.005006187,0
2023年7月11日17時26分8秒4f,0.008098103,0.0007729791
2023年7月11日17時26分8秒5f,0.01247238,0.002522688
2023年7月11日17時26分8秒6f,0.01753385,0.005053427
2023年7月11日17時26分8秒7f,0.02346797,0.008444346
2023年7月11日17時26分8秒8f,0.03031921,0.01272637
2023年7月11日17時26分8秒9f,0.0376412,0.0176077
2023年7月11日17時26分8秒10f,0.04544421,0.02306981
2023年7月11日17時26分8秒11f,0.05492219,0.02996289
2023年7月11日17時26分8秒12f,0.06500556,0.03752541
2023年7月11日17時26分8秒13f,0.07595481,0.04594791
2023年7月11日17時26分8秒14f,0.08782926,0.05527784
2023年7月11日17時26分8秒15f,0.09973664,0.06480373
2023年7月11日17時26分9秒16f,0.113255,0.07578737
2023年7月11日17時26分9秒17f,0.1271244,0.08720928
2023年7月11日17時26分9秒18f,0.1420814,0.09967345
2023年7月11日17時26分9秒19f,0.1577238,0.1128459
2023年7月11日17時26分9秒20f,0.1756442,0.1280784
2023年7月11日17時26分9秒21f,0.1921214,0.1422016
2023年7月11日17時26分9秒22f,0.2102694,0.1578749
2023年7月11日17時26分9秒23f,0.2299455,0.1749846
2023年7月11日17時26分9秒24f,0.2499104,0.1924539
2023年7月11日17時26分9秒25f,0.2709878,0.211002
2023年7月11日17時26分9秒26f,0.2931194,0.2305799
2023年7月11日17時26分9秒27f,0.3146206,0.2496921
2023年7月11日17時26分9秒28f,0.3376991,0.2702979
2023年7月11日17時26分9秒29f,0.3627379,0.2927465
2023年7月11日17時26分9秒30f,0.3877355,0.3152444
2023年7月11日17時26分9秒31f,0.4138952,0.3388725
2023年7月11日17時26分9秒32f,0.4401139,0.3626332
2023年7月11日17時26分9秒33f,0.466521,0.3866396
2023年7月11日17時26分9秒34f,0.4945373,0.4121839
2023年7月11日17時26分9秒35f,0.5242796,0.4393769
2023年7月11日17時26分9秒36f,0.5537388,0.4663811
2023年7月11日17時26分9秒37f,0.5864664,0.4964551
2023年7月11日17時26分9秒38f,0.6187646,0.5262035
2023年7月11日17時26分9秒39f,0.6490101,0.5556315
2023年7月11日17時26分9秒40f,0.6786214,0.5860653
2023年7月11日17時26分9秒41f,0.7072925,0.6169469
2023年7月11日17時26分9秒42f,0.7357135,0.6490059
2023年7月11日17時26分9秒43f,0.7643723,0.6828387
2023年7月11日17時26分9秒44f,0.7908511,0.7155333
2023年7月11日17時26分9秒45f,0.8195918,0.7526281
2023年7月11日17時26分9秒46f,0.8465884,0.7890296
2023年7月11日17時26分9秒47f,0.8729894,0.8261992
2023年7月11日17時26分9秒48f,0.8969761,0.8614421
2023年7月11日17時26分9秒49f,0.922387,0.9003862
2023年7月11日17時26分9秒50f,0.9482441,0.9417017
2023年7月11日17時26分9秒51f,0.9717931,0.9809141
2023年7月11日17時26分9秒52f,0.99501,1.021184
2023年7月11日17時26分9秒53f,1.018058,1.062809
2023年7月11日17時26分9秒54f,1.0412,1.106312
2023年7月11日17時26分9秒55f,1.062762,1.14848
2023年7月11日17時26分9秒56f,1.08348,1.190622
2023年7月11日17時26分9秒57f,1.105442,1.237066
2023年7月11日17時26分9秒58f,1.125592,1.28135
2023年7月11日17時26分9秒59f,1.146649,1.329434
2023年7月11日17時26分9秒60f,1.167072,1.37787
2023年7月11日17時26分9秒61f,1.187227,1.427501
2023年7月11日17時26分9秒62f,1.205595,1.47445
2023年7月11日17時26分9秒63f,1.224804,1.525403
2023年7月11日17時26分9秒64f,1.242659,1.57578
2023年7月11日17時26分9秒65f,1.260245,1.628654
2023年7月11日17時26分9秒66f,1.276408,1.680552
2023年7月11日17時26分9秒67f,1.292092,1.734459
2023年7月11日17時26分9秒68f,1.306816,1.788775
2023年7月11日17時26分9秒69f,1.320427,1.842826
2023年7月11日17時26分9秒70f,1.333735,1.899904
2023年7月11日17時26分9秒71f,1.345496,1.954608
2023年7月11日17時26分9秒72f,1.356753,2.011632
2023年7月11日17時26分9秒73f,1.367424,2.070818
2023年7月11日17時26分9秒74f,1.376967,2.129127
2023年7月11日17時26分9秒75f,1.386047,2.190679
2023年7月11日17時26分10秒76f,1.393835,2.249772
2023年7月11日17時26分10秒77f,1.401348,2.314268
2023年7月11日17時26分10秒78f,1.407715,2.37693
2023年7月11日17時26分10秒79f,1.413135,2.439148
2023年7月11日17時26分10秒80f,1.41765,2.501
2023年7月11日17時26分10秒81f,1.421454,2.565221
2023年7月11日17時26分10秒82f,1.424653,2.635029
2023年7月11日17時26分10秒83f,1.426806,2.700752
2023年7月11日17時26分10秒84f,1.428133,2.767063
2023年7月11日17時26分10秒85f,1.428642,2.834361
2023年7月11日17時26分10秒86f,1.428324,2.903982
2023年7月11日17時26分10秒87f,1.427121,2.977194
2023年7月11日17時26分10秒88f,1.425228,3.044832
2023年7月11日17時26分10秒89f,1.422274,3.119992
2023年7月11日17時26分10秒90f,1.418664,3.191699
2023年7月11日17時26分10秒91f,1.414243,3.264028
2023年7月11日17時26分10秒92f,1.408751,3.340645
2023年7月11日17時26分10秒93f,1.402657,3.414969
2023年7月11日17時26分10秒94f,1.395857,3.488812
2023年7月11日17時26分10秒95f,1.388166,3.564252
2023年7月11日17時26分10秒96f,1.379791,3.639288
2023年7月11日17時26分10秒97f,1.370274,3.717905
2023年7月11日17時26分10秒98f,1.359845,3.79794
2023年7月11日17時26分10秒99f,1.34841,3.879984
2023年7月11日17時26分10秒100f,1.336518,3.960205
2023年7月11日17時26分10秒101f,1.32485,4.041349
2023年7月11日17時26分10秒102f,1.313708,4.121222
2023年7月11日17時26分10秒103f,1.301529,4.211212
2023年7月11日17時26分10秒104f,1.291281,4.289254
2023年7月11日17時26分10秒105f,1.280289,4.37551
2023年7月11日17時26分10秒106f,1.269701,4.461126
2023年7月11日17時26分10秒107f,1.259002,4.550258
2023年7月11日17時26分10秒108f,1.249271,4.633779
2023年7月11日17時26分10秒109f,1.238768,4.726645
2023年7月11日17時26分10秒110f,1.229293,4.818907
2023年7月11日17時26分10秒111f,1.221087,4.907625
2023年7月11日17時26分10秒112f,1.21376,4.996475
2023年7月11日17時26分10秒113f,1.207276,5.085753
2023年7月11日17時26分10秒114f,1.201026,5.185022
2023年7月11日17時26分10秒115f,1.196307,5.273271
2023年7月11日17時26分10秒116f,1.192225,5.365729
2023年7月11日17時26分10秒117f,1.188837,5.462576
2023年7月11日17時26分10秒118f,1.186373,5.557345
2023年7月11日17時26分10秒119f,1.184705,5.654633
2023年7月11日17時26分10秒120f,1.183854,5.755368
2023年7月11日17時26分10秒121f,1.183863,5.849629
2023年7月11日17時26分10秒122f,1.184713,5.949626
2023年7月11日17時26分10秒123f,1.186376,6.048877
2023年7月11日17時26分10秒124f,1.188852,6.148387
2023年7月11日17時26分10秒125f,1.192348,6.254714
2023年7月11日17時26分10秒126f,1.196271,6.351
2023年7月11日17時26分10秒127f,1.201533,6.459558
2023年7月11日17時26分10秒128f,1.207091,6.558635
2023年7月11日17時26分10秒129f,1.21421,6.670605
2023年7月11日17時26分10秒130f,1.221551,6.774065
2023年7月11日17時26分10秒131f,1.229829,6.879914
2023年7月11日17時26分10秒132f,1.238874,6.98588
2023年7月11日17時26分10秒133f,1.248973,7.093502
2023年7月11日17時26分10秒134f,1.259943,7.200577
2023年7月11日17時26分10秒135f,1.272037,7.311066
2023年7月11日17時26分11秒136f,1.284538,7.416824
2023年7月11日17時26分11秒137f,1.29705,7.516853
2023年7月11日17時26分11秒138f,1.311629,7.625699
2023年7月11日17時26分11秒139f,1.326225,7.729427
2023年7月11日17時26分11秒140f,1.341802,7.835127
2023年7月11日17時26分11秒141f,1.359106,7.947536
2023年7月11日17時26分11秒142f,1.375073,8.0542
2023年7月11日17時26分11秒143f,1.391986,8.168605
2023年7月11日17時26分11秒144f,1.406665,8.270698
2023年7月11日17時26分11秒145f,1.422681,8.383502
2023年7月11日17時26分11秒146f,1.438203,8.48641
2023年7月11日17時26分11秒147f,1.455422,8.595832
2023年7月11日17時26分11秒148f,1.474772,8.712161
2023年7月11日17時26分11秒149f,1.49317,8.81866
2023年7月11日17時26分11秒150f,1.512298,8.92385
2023年7月11日17時26分11秒151f,1.532632,9.030271
2023年7月11日17時26分11秒152f,1.553636,9.135052
2023年7月11日17時26分11秒153f,1.574987,9.238348
2023年7月11日17時26分11秒154f,1.597778,9.343764
2023年7月11日17時26分11秒155f,1.621986,9.450946
2023年7月11日17時26分11秒156f,1.646387,9.556145
2023年7月11日17時26分11秒157f,1.671943,9.661867
2023年7月11日17時26分11秒158f,1.699513,9.773172
2023年7月11日17時26分11秒159f,1.724864,9.871586
2023年7月11日17時26分11秒160f,1.752552,9.976686
2023年7月11日17時26分11秒161f,1.779403,10.08092
2023年7月11日17時26分11秒162f,1.807666,10.19323
2023年7月11日17時26分11秒163f,1.83168,10.29257
2023年7月11日17時26分11秒164f,1.856111,10.3979
2023年7月11日17時26分11秒165f,1.880716,10.50529
2023年7月11日17時26分11秒166f,1.902818,10.60451
2023年7月11日17時26分11秒167f,1.92762,10.71722
2023年7月11日17時26分11秒168f,1.948833,10.81482
2023年7月11日17時26分11秒169f,1.972136,10.92509
2023年7月11日17時26分11秒170f,1.992916,11.02463
2023年7月11日17時26分11秒171f,2.014395,11.13046
