time stamp,penguin x,penguin y
2023年6月30日11時37分48秒0f,0,0
2023年6月30日11時37分48秒1f,0.001555212,0.001555212
2023年6月30日11時37分48秒2f,0.005921513,0.005921513
2023年6月30日11時37分48秒3f,0.01067363,0.01067363
2023年6月30日11時37分48秒4f,0.0178236,0.0178236
2023年6月30日11時37分49秒5f,0.0267595,0.0267595
2023年6月30日11時37分49秒6f,0.0356554,0.0356554
2023年6月30日11時37分49秒7f,0.04857138,0.04857138
2023年6月30日11時37分49秒8f,0.0610509,0.0610509
2023年6月30日11時37分49秒9f,0.07776444,0.07776444
2023年6月30日11時37分49秒10f,0.09424584,0.09424584
2023年6月30日11時37分49秒11f,0.1114056,0.1114056
2023年6月30日11時37分49秒12f,0.1306344,0.1306344
2023年6月30日11時37分49秒13f,0.1503062,0.1503062
2023年6月30日11時37分49秒14f,0.1754842,0.1754842
2023年6月30日11時37分49秒15f,0.2003221,0.2003221
2023年6月30日11時37分49秒16f,0.2251236,0.2251236
2023年6月30日11時37分49秒17f,0.2569335,0.2569335
2023年6月30日11時37分49秒18f,0.2871427,0.2871427
2023年6月30日11時37分49秒19f,0.3166151,0.3166151
2023年6月30日11時37分49秒20f,0.3504687,0.3504687
2023年6月30日11時37分49秒21f,0.3849952,0.3849952
2023年6月30日11時37分49秒22f,0.4252095,0.4252095
2023年6月30日11時37分49秒23f,0.4602417,0.4602417
2023年6月30日11時37分49秒24f,0.4982433,0.4982433
2023年6月30日11時37分49秒25f,0.5403356,0.5439958
2023年6月30日11時37分49秒26f,0.5788904,0.5895605
2023年6月30日11時37分49秒27f,0.6124648,0.6327276
2023年6月30日11時37分49秒28f,0.6415432,0.6734373
2023年6月30日11時37分49秒29f,0.6765984,0.7253047
2023年6月30日11時37分49秒30f,0.7109898,0.7790188
2023年6月30日11時37分49秒31f,0.7376308,0.8228924
2023年6月30日11時37分49秒32f,0.7689729,0.8772604
2023年6月30日11時37分49秒33f,0.8021934,0.9379005
2023年6月30日11時37分49秒34f,0.8336568,0.9982811
2023年6月30日11時37分49秒35f,0.8596693,1.050718
2023年6月30日11時37分49秒36f,0.8900116,1.114915
2023年6月30日11時37分49秒37f,0.9144801,1.169208
2023年6月30日11時37分49秒38f,0.9440148,1.237887
2023年6月30日11時37分49秒39f,0.9686458,1.29787
2023年6月30日11時37分49秒40f,0.995995,1.367574
2023年6月30日11時37分49秒41f,1.024025,1.442294
2023年6月30日11時37分49秒42f,1.048378,1.513386
2023年6月30日11時37分49秒43f,1.070439,1.583579
2023年6月30日11時37分49秒44f,1.094701,1.66738
2023年6月30日11時37分49秒45f,1.12032,1.763091
2023年6月30日11時37分49秒46f,1.140523,1.844469
2023年6月30日11時37分49秒47f,1.165369,1.952062
2023年6月30日11時37分49秒48f,1.189149,2.062483
2023年6月30日11時37分49秒49f,1.21052,2.168642
2023年6月30日11時37分49秒50f,1.229413,2.268831
2023年6月30日11時37分49秒51f,1.252915,2.401607
2023年6月30日11時37分49秒52f,1.272821,2.521216
2023年6月30日11時37分49秒53f,1.29053,2.6342
2023年6月30日11時37分49秒54f,1.312583,2.783356
2023年6月30日11時37分49秒55f,1.333949,2.936347
2023年6月30日11時37分49秒56f,1.350926,3.064881
2023年6月30日11時37分49秒57f,1.369297,3.21175
2023年6月30日11時37分49秒58f,1.386879,3.360012
2023年6月30日11時37分49秒59f,1.406113,3.530916
2023年6月30日11時37分49秒60f,1.422986,3.688734
2023年6月30日11時37分49秒61f,1.440825,3.864209
