time stamp,penguin x,penguin y
2023年7月6日0時13分22秒0f,0,0
2023年7月6日0時13分22秒1f,0.001791809,0.001791812
2023年7月6日0時13分22秒2f,0.005244348,0.005244352
2023年7月6日0時13分22秒3f,0.01048166,0.01048166
2023年7月6日0時13分22秒4f,0.01705446,0.01705446
2023年7月6日0時13分22秒5f,0.02499586,0.02499586
2023年7月6日0時13分22秒6f,0.03562312,0.03562313
2023年7月6日0時13分22秒7f,0.04739166,0.04739167
2023年7月6日0時13分22秒8f,0.05904158,0.05904159
2023年7月6日0時13分22秒9f,0.074129,0.07412902
2023年7月6日0時13分22秒10f,0.0922032,0.09220321
2023年7月6日0時13分22秒11f,0.1088896,0.1125977
2023年7月6日0時13分22秒12f,0.1175512,0.1328081
2023年7月6日0時13分22秒13f,0.1271771,0.1606381
2023年7月6日0時13分22秒14f,0.1364838,0.1929395
2023年7月6日0時13分22秒15f,0.145756,0.2307039
2023年7月6日0時13分22秒16f,0.1556192,0.2770416
2023年7月6日0時13分22秒17f,0.1646138,0.3251363
2023年7月6日0時13分22秒18f,0.1731526,0.3765453
2023年7月6日0時13分22秒19f,0.1816645,0.4337409
2023年7月6日0時13分22秒20f,0.1904842,0.4993977
2023年7月6日0時13分22秒21f,0.1988097,0.5676327
2023年7月6日0時13分22秒22f,0.2070269,0.6413833
2023年7月6日0時13分22秒23f,0.2152084,0.7214201
2023年7月6日0時13分22秒24f,0.2228979,0.8030796
2023年7月6日0時13分22秒25f,0.230425,0.8895385
2023年7月6日0時13分22秒26f,0.2375724,0.9780549
2023年7月6日0時13分22秒27f,0.2453215,1.081226
2023年7月6日0時13分22秒28f,0.2519731,1.176188
2023年7月6日0時13分22秒29f,0.2649373,1.29095
2023年7月6日0時13分22秒30f,0.2816815,1.401037
2023年7月6日0時13分22秒31f,0.3106331,1.555095
2023年7月6日0時13分22秒32f,0.331542,1.64977
2023年7月6日0時13分23秒33f,0.3643294,1.780291
2023年7月6日0時13分23秒34f,0.4013067,1.912691
2023年7月6日0時13分23秒35f,0.4398328,2.038868
2023年7月6日0時13分23秒36f,0.4919365,2.196965
2023年7月6日0時13分23秒37f,0.5463294,2.351417
2023年7月6日0時13分23秒38f,0.5985795,2.491389
2023年7月6日0時13分23秒39f,0.665475,2.661571
2023年7月6日0時13分23秒40f,0.7276207,2.812534
2023年7月6日0時13分23秒41f,0.7853545,2.968685
2023年7月6日0時13分23秒42f,0.8482221,3.159067
2023年7月6日0時13分23秒43f,0.8947411,3.317876
2023年7月6日0時13分23秒44f,0.9446161,3.511444
2023年7月6日0時13分23秒45f,0.9884219,3.706768
2023年7月6日0時13分23秒46f,1.023027,3.886433
2023年7月6日0時13分23秒47f,1.063149,4.104488
2023年7月6日0時13分23秒48f,1.099431,4.310769
2023年7月6日0時13分23秒49f,1.132987,4.510234
2023年7月6日0時13分23秒50f,1.168064,4.728101
2023年7月6日0時13分23秒51f,1.201919,4.947699
2023年7月6日0時13分23秒52f,1.235722,5.176558
2023年7月6日0時13分23秒53f,1.266427,5.393429
2023年7月6日0時13分23秒54f,1.298914,5.632703
2023年7月6日0時13分23秒55f,1.32938,5.863307
2023年7月6日0時13分23秒56f,1.359301,6.096039
2023年7月6日0時13分23秒57f,1.388547,6.329804
