time stamp,penguin x,penguin y
2023年6月30日0時53分57秒0f,0,0
2023年6月30日0時53分57秒1f,0.001908429,0.001908429
2023年6月30日0時53分57秒2f,0.005007729,0.005007729
2023年6月30日0時53分57秒3f,0.0100234,0.0100234
2023年6月30日0時53分57秒4f,0.0169122,0.0169122
2023年6月30日0時53分57秒5f,0.0253592,0.0253592
2023年6月30日0時53分57秒6f,0.03498074,0.03498074
2023年6月30日0時53分57秒7f,0.04635644,0.04635644
2023年6月30日0時53分57秒8f,0.05945012,0.05945012
2023年6月30日0時53分57秒9f,0.07454438,0.07454438
2023年6月30日0時53分57秒10f,0.09239368,0.09239368
2023年6月30日0時53分57秒11f,0.1105997,0.1105997
2023年6月30日0時53分57秒12f,0.130598,0.130598
2023年6月30日0時53分57秒13f,0.1509554,0.1509554
2023年6月30日0時53分57秒14f,0.1734183,0.1734183
2023年6月30日0時53分57秒15f,0.1998958,0.1998958
2023年6月30日0時53分57秒16f,0.2285902,0.2285902
2023年6月30日0時53分57秒17f,0.2574005,0.2574005
2023年6月30日0時53分57秒18f,0.2827395,0.2922417
2023年6月30日0時53分57秒19f,0.3068638,0.3386344
2023年6月30日0時53分57秒20f,0.3301632,0.3898419
2023年6月30日0時53分57秒21f,0.3492692,0.437281
2023年6月30日0時53分57秒22f,0.3713167,0.4985466
2023年6月30日0時53分57秒23f,0.3889572,0.5529799
2023年6月30日0時53分57秒24f,0.4066375,0.6131631
2023年6月30日0時53分57秒25f,0.4281394,0.6934502
2023年6月30日0時53分57秒26f,0.4461856,0.7670065
2023年6月30日0時53分57秒27f,0.4642068,0.8468475
2023年6月30日0時53分57秒28f,0.4838182,0.9409353
2023年6月30日0時53分57秒29f,0.4999068,1.024241
2023年6月30日0時53分57秒30f,0.51824,1.126391
2023年6月30日0時53分57秒31f,0.533806,1.219469
2023年6月30日0時53分57秒32f,0.5520781,1.336442
2023年6月30日0時53分57秒33f,0.5668064,1.437163
2023年6月30日0時53分57秒34f,0.5832011,1.55669
2023年6月30日0時53分57秒35f,0.598884,1.678362
2023年6月30日0時53分57秒36f,0.613543,1.79918
2023年6月30日0時53分57秒37f,0.6303666,1.946253
2023年6月30日0時53分57秒38f,0.6434973,2.067832
2023年6月30日0時53分57秒39f,0.6581863,2.211695
2023年6月30日0時53分57秒40f,0.6743741,2.379181
2023年6月30日0時53分57秒41f,0.6868078,2.514926
2023年6月30日0時53分57秒42f,0.7013744,2.682552
2023年6月30日0時53分57秒43f,0.7136791,2.831651
2023年6月30日0時53分57秒44f,0.7280233,3.014495
2023年6月30日0時53分57秒45f,0.7405753,3.182657
2023年6月30日0時53分57秒46f,0.7517358,3.339673
2023年6月30日0時53分57秒47f,0.7643005,3.525156
2023年6月30日0時53分57秒48f,0.7757913,3.703011
2023年6月30日0時53分57秒49f,0.7840589,3.927463
2023年6月30日0時53分57秒50f,0.7949599,4.105228
2023年6月30日0時53分57秒51f,0.8107853,4.292301
2023年6月30日0時53分57秒52f,0.8332306,4.502576
2023年6月30日0時53分57秒53f,0.8605329,4.716138
2023年6月30日0時53分57秒54f,0.892723,4.933684
2023年6月30日0時53分58秒55f,0.9290907,5.15121
2023年6月30日0時53分58秒56f,0.9742289,5.394465
2023年6月30日0時53分58秒57f,1.020957,5.624497
2023年6月30日0時53分58秒58f,1.064989,5.872262
2023年6月30日0時53分58秒59f,1.102418,6.116335
2023年6月30日0時53分58秒60f,1.135697,6.345129
2023年6月30日0時53分58秒61f,1.167346,6.575034
2023年6月30日0時53分58秒62f,1.199683,6.823832
2023年6月30日0時53分58秒63f,1.232025,7.079465
2023年6月30日0時53分58秒64f,1.261862,7.31849
2023年6月30日0時53分58秒65f,1.295073,7.591811
2023年6月30日0時53分58秒66f,1.323348,7.827667
2023年6月30日0時53分58秒67f,1.350814,8.056715
2023年6月30日0時53分58秒68f,1.379946,8.35638
2023年6月30日0時53分58秒69f,1.397048,8.574129
2023年6月30日0時53分58秒70f,1.410927,8.819028
2023年6月30日0時53分58秒71f,1.419367,9.046175
2023年6月30日0時53分58秒72f,1.423155,9.280935
2023年6月30日0時53分58秒73f,1.422013,9.551324
2023年6月30日0時53分58秒74f,1.416395,9.781536
