time stamp,penguin x,penguin y
2023年7月11日17時25分22秒0f,0,0
2023年7月11日17時25分22秒1f,0.00089518,0.00089518
2023年7月11日17時25分22秒2f,0.002510414,0.002510414
2023年7月11日17時25分22秒3f,0.005011231,0.005011231
2023年7月11日17時25分23秒4f,0.008509815,0.008509815
2023年7月11日17時25分23秒5f,0.01250019,0.01250019
2023年7月11日17時25分23秒6f,0.01757865,0.01757865
2023年7月11日17時25分23秒7f,0.02338487,0.02338487
2023年7月11日17時25分23秒8f,0.03022103,0.03022103
2023年7月11日17時25分23秒9f,0.03728909,0.03728909
2023年7月11日17時25分23秒10f,0.04626529,0.04626529
2023年7月11日17時25分23秒11f,0.05484512,0.05484512
2023年7月11日17時25分23秒12f,0.06500228,0.06500228
2023年7月11日17時25分23秒13f,0.07582479,0.07582479
2023年7月11日17時25分23秒14f,0.08749463,0.08749463
2023年7月11日17時25分23秒15f,0.1001294,0.1001294
2023年7月11日17時25分23秒16f,0.1133142,0.1133142
2023年7月11日17時25分23秒17f,0.1271352,0.1271352
2023年7月11日17時25分23秒18f,0.1427115,0.1427115
2023年7月11日17時25分23秒19f,0.1585565,0.1585565
2023年7月11日17時25分23秒20f,0.1740533,0.1740533
2023年7月11日17時25分23秒21f,0.1926388,0.1926388
2023年7月11日17時25分23秒22f,0.2109871,0.2109871
2023年7月11日17時25分23秒23f,0.2293281,0.2293281
2023年7月11日17時25分23秒24f,0.2503063,0.2503063
2023年7月11日17時25分23秒25f,0.2709486,0.2709486
2023年7月11日17時25分23秒26f,0.2911209,0.2911209
2023年7月11日17時25分23秒27f,0.3134763,0.3152648
2023年7月11日17時25分23秒28f,0.3332102,0.3378178
2023年7月11日17時25分23秒29f,0.3536528,0.362509
2023年7月11日17時25分23秒30f,0.3727609,0.3868713
2023年7月11日17時25分23秒31f,0.3913916,0.4119178
2023年7月11日17時25分23秒32f,0.4105743,0.4390815
2023年7月11日17時25分23秒33f,0.4285421,0.4665348
2023年7月11日17時25分23秒34f,0.4469154,0.4968626
2023年7月11日17時25分23秒35f,0.4639669,0.5273147
2023年7月11日17時25分23秒36f,0.4767557,0.55207
2023年7月11日17時25分23秒37f,0.493098,0.5864297
2023年7月11日17時25分23秒38f,0.5072237,0.6187695
2023年7月11日17時25分23秒39f,0.519328,0.6490341
2023年7月11日17時25分23秒40f,0.5313122,0.6818719
2023年7月11日17時25分23秒41f,0.5433753,0.718244
2023年7月11日17時25分23秒42f,0.5529662,0.7502188
2023年7月11日17時25分23秒43f,0.5634481,0.7890805
2023年7月11日17時25分23秒44f,0.5722977,0.8258216
2023年7月11日17時25分23秒45f,0.5803333,0.8634962
2023年7月11日17時25分23秒46f,0.5872318,0.9004034
2023年7月11日17時25分23秒47f,0.5935693,0.9396063
2023年7月11日17時25分23秒48f,0.5993245,0.9814748
2023年7月11日17時25分23秒49f,0.6040872,1.023164
2023年7月11日17時25分23秒50f,0.6076862,1.0623
2023年7月11日17時25分23秒51f,0.6107009,1.105032
2023年7月11日17時25分23秒52f,0.6128926,1.1489
2023年7月11日17時25分23秒53f,0.6142352,1.193428
2023年7月11日17時25分23秒54f,0.6147403,1.239032
2023年7月11日17時25分23秒55f,0.6144215,1.282641
2023年7月11日17時25分23秒56f,0.613203,1.331311
2023年7月11日17時25分23秒57f,0.6113577,1.375101
2023年7月11日17時25分23秒58f,0.6082857,1.427476
2023年7月11日17時25分23秒59f,0.6048817,1.4731
2023年7月11日17時25分23秒60f,0.6000426,1.526848
2023年7月11日17時25分23秒61f,0.5951781,1.573198
2023年7月11日17時25分23秒62f,0.5888126,1.626516
2023年7月11日17時25分23秒63f,0.5817519,1.679459
2023年7月11日17時25分24秒64f,0.573894,1.732948
2023年7月11日17時25分24秒65f,0.5652921,1.7867
2023年7月11日17時25分24秒66f,0.5562585,1.838991
2023年7月11日17時25分24秒67f,0.5455932,1.896608
2023年7月11日17時25分24秒68f,0.5342115,1.954358
2023年7月11日17時25分24秒69f,0.5222486,2.011672
2023年7月11日17時25分24秒70f,0.5093486,2.0703
2023年7月11日17時25分24秒71f,0.495428,2.130559
2023年7月11日17時25分24秒72f,0.4808088,2.191046
2023年7月11日17時25分24秒73f,0.4661401,2.249236
2023年7月11日17時25分24秒74f,0.4510047,2.311342
2023年7月11日17時25分24秒75f,0.4366103,2.372427
2023年7月11日17時25分24秒76f,0.4214683,2.438871
2023年7月11日17時25分24秒77f,0.4076567,2.501528
2023年7月11日17時25分24秒78f,0.3942983,2.564168
2023年7月11日17時25分24秒79f,0.3805759,2.633509
2023年7月11日17時25分24秒80f,0.3679594,2.70248
2023年7月11日17時25分24秒81f,0.3573072,2.765765
2023年7月11日17時25分24秒82f,0.3463976,2.836574
2023年7月11日17時25分24秒83f,0.3367227,2.905597
2023年7月11日17時25分24秒84f,0.3284341,2.971071
2023年7月11日17時25分24秒85f,0.3201859,3.043844
2023年7月11日17時25分24秒86f,0.3130212,3.11521
2023年7月11日17時25分24秒87f,0.306733,3.186874
2023年7月11日17時25分24秒88f,0.301271,3.259328
2023年7月11日17時25分24秒89f,0.2964887,3.334874
2023年7月11日17時25分24秒90f,0.2926862,3.408726
2023年7月11日17時25分24秒91f,0.2894782,3.489061
2023年7月11日17時25分24秒92f,0.2872268,3.567699
2023年7月11日17時25分24秒93f,0.2858967,3.643407
2023年7月11日17時25分24秒94f,0.2853559,3.723598
2023年7月11日17時25分24秒95f,0.2856501,3.799966
2023年7月11日17時25分24秒96f,0.2867853,3.87974
2023年7月11日17時25分24秒97f,0.2886805,3.957434
2023年7月11日17時25分24秒98f,0.2916005,4.042449
2023年7月11日17時25分24秒99f,0.2951966,4.12399
2023年7月11日17時25分24秒100f,0.2998144,4.210046
2023年7月11日17時25分24秒101f,0.3050912,4.293764
2023年7月11日17時25分24秒102f,0.3108361,4.373316
2023年7月11日17時25分24秒103f,0.3180587,4.462238
2023年7月11日17時25分24秒104f,0.3260015,4.550434
2023年7月11日17時25分24秒105f,0.3346141,4.637673
2023年7月11日17時25分24秒106f,0.3444271,4.729189
2023年7月11日17時25分24秒107f,0.3545905,4.81713
2023年7月11日17時25分24秒108f,0.3649966,4.901213
2023年7月11日17時25分24秒109f,0.3775045,4.996115
2023年7月11日17時25分24秒110f,0.3908264,5.091481
2023年7月11日17時25分24秒111f,0.4040951,5.181473
2023年7月11日17時25分24秒112f,0.4183105,5.273154
2023年7月11日17時25分24秒113f,0.4338122,5.36853
2023年7月11日17時25分24秒114f,0.45035,5.465881
2023年7月11日17時25分24秒115f,0.4661039,5.554839
2023年7月11日17時25分24秒116f,0.4843911,5.654122
2023年7月11日17時25分24秒117f,0.5028104,5.750477
2023年7月11日17時25分24秒118f,0.5224407,5.849611
2023年7月11日17時25分24秒119f,0.5428721,5.949395
2023年7月11日17時25分24秒120f,0.5628386,6.043851
2023年7月11日17時25分24秒121f,0.5857278,6.148895
2023年7月11日17時25分24秒122f,0.6091151,6.253157
2023年7月11日17時25分24秒123f,0.6322482,6.353466
2023年7月11日17時25分25秒124f,0.6575881,6.460465
2023年7月11日17時25分25秒125f,0.6813967,6.558472
2023年7月11日17時25分25秒126f,0.7080281,6.665452
2023年7月11日17時25分25秒127f,0.7352429,6.772239
2023年7月11日17時25分25秒128f,0.7618959,6.872889
2023年7月11日17時25分25秒129f,0.7927427,6.986883
2023年7月11日17時25分25秒130f,0.820572,7.087606
2023年7月11日17時25分25秒131f,0.8520312,7.19747
2023年7月11日17時25分25秒132f,0.8852944,7.311415
2023年7月11日17時25分25秒133f,0.9143308,7.407532
2023年7月11日17時25分25秒134f,0.9487866,7.517816
2023年7月11日17時25分25秒135f,0.9816223,7.621124
2023年7月11日17時25分25秒136f,1.016235,7.728228
2023年7月11日17時25分25秒137f,1.049967,7.830938
2023年7月11日17時25分25秒138f,1.08838,7.944318
2023年7月11日17時25分25秒139f,1.123361,8.044452
2023年7月11日17時25分25秒140f,1.163229,8.155183
2023年7月11日17時25分25秒141f,1.199257,8.253865
2023年7月11日17時25分25秒142f,1.240238,8.364611
2023年7月11日17時25分25秒143f,1.279958,8.468908
2023年7月11日17時25分25秒144f,1.323304,8.5813
2023年7月11日17時25分25秒145f,1.362742,8.684857
2023年7月11日17時25分25秒146f,1.399869,8.783619
2023年7月11日17時25分25秒147f,1.44082,8.895786
2023年7月11日17時25分25秒148f,1.47809,8.9993
2023年7月11日17時25分25秒149f,1.515258,9.103804
2023年7月11日17時25分25秒150f,1.552484,9.211458
2023年7月11日17時25分25秒151f,1.586692,9.311604
2023年7月11日17時25分25秒152f,1.62143,9.416205
2023年7月11日17時25分25秒153f,1.65621,9.522223
2023年7月11日17時25分25秒154f,1.687727,9.619471
2023年7月11日17時25分25秒155f,1.720626,9.723888
2023年7月11日17時25分25秒156f,1.755204,9.834981
2023年7月11日17時25分25秒157f,1.785767,9.935987
2023年7月11日17時25分25秒158f,1.816317,10.03818
2023年7月11日17時25分25秒159f,1.847232,10.14286
2023年7月11日17時25分25秒160f,1.876234,10.24225
2023年7月11日17時25分25秒161f,1.906186,10.34613
2023年7月11日17時25分25秒162f,1.934092,10.44408
2023年7月11日17時25分25秒163f,1.962206,10.54393
2023年7月11日17時25分25秒164f,1.988997,10.6402
2023年7月11日17時25分25秒165f,2.015524,10.73665
2023年7月11日17時25分25秒166f,2.041795,10.83439
2023年7月11日17時25分25秒167f,2.066672,10.92919
2023年7月11日17時25分25秒168f,2.091651,11.02678
2023年7月11日17時25分25秒169f,2.114031,11.11653
2023年7月11日17時25分25秒170f,2.137508,11.21327
2023年7月11日17時25分25秒171f,2.158044,11.30034
2023年7月11日17時25分25秒172f,2.179704,11.39497
2023年7月11日17時25分25秒173f,2.200323,11.48792
2023年7月11日17時25分25秒174f,2.220569,11.58225
2023年7月11日17時25分25秒175f,2.238228,11.66745
2023年7月11日17時25分25秒176f,2.256225,11.75752
2023年7月11日17時25分25秒177f,2.27309,11.84528
2023年7月11日17時25分25秒178f,2.288992,11.9306
2023年7月11日17時25分25秒179f,2.303512,12.01114
2023年7月11日17時25分25秒180f,2.317693,12.09272
2023年7月11日17時25分25秒181f,2.331919,12.17788
2023年7月11日17時25分25秒182f,2.34458,12.25782
2023年7月11日17時25分25秒183f,2.356285,12.33612
2023年7月11日17時25分26秒184f,2.366969,12.4122
2023年7月11日17時25分26秒185f,2.377692,12.49395
2023年7月11日17時25分26秒186f,2.386438,12.5658
2023年7月11日17時25分26秒187f,2.395091,12.64303
2023年7月11日17時25分26秒188f,2.402883,12.71931
2023年7月11日17時25分26秒189f,2.409806,12.79451
2023年7月11日17時25分26秒190f,2.415333,12.86214
2023年7月11日17時25分26秒191f,2.420723,12.9379
2023年7月11日17時25分26秒192f,2.425137,13.01106
2023年7月11日17時25分26秒193f,2.428377,13.07685
2023年7月11日17時25分26秒194f,2.431127,13.14936
2023年7月11日17時25分26秒195f,2.433057,13.22275
2023年7月11日17時25分26秒196f,2.43399,13.28756
2023年7月11日17時25分26秒197f,2.434141,13.35542
2023年7月11日17時25分26秒198f,2.433481,13.41963
