time stamp,penguin x,penguin y
2023年6月30日11時55分31秒0f,0,0
2023年6月30日11時55分31秒1f,-0.001622967,0.001622967
2023年6月30日11時55分31秒2f,-0.005398549,0.005398549
2023年6月30日11時55分31秒3f,-0.01006148,0.01006148
2023年6月30日11時55分31秒4f,-0.01800756,0.01800756
2023年6月30日11時55分31秒5f,-0.02274631,0.02274631
2023年6月30日11時55分31秒6f,-0.03512755,0.03512755
2023年6月30日11時55分31秒7f,-0.04544282,0.04544282
2023年6月30日11時55分31秒8f,-0.0612225,0.0612225
2023年6月30日11時55分31秒9f,-0.07451028,0.07451028
2023年6月30日11時55分31秒10f,-0.09218129,0.09218129
2023年6月30日11時55分31秒11f,-0.1123855,0.1123855
2023年6月30日11時55分31秒12f,-0.1318479,0.1318479
2023年6月30日11時55分31秒13f,-0.1528843,0.1528843
2023年6月30日11時55分31秒14f,-0.1752225,0.1752225
2023年6月30日11時55分31秒15f,-0.1972902,0.1972902
2023年6月30日11時55分31秒16f,-0.2317295,0.2317295
2023年6月30日11時55分31秒17f,-0.2509322,0.2509322
2023年6月30日11時55分31秒18f,-0.2939253,0.2939253
2023年6月30日11時55分31秒19f,-0.3364726,0.3364726
2023年6月30日11時55分31秒20f,-0.3812588,0.3812588
2023年6月30日11時55分31秒21f,-0.4290357,0.4290357
2023年6月30日11時55分31秒22f,-0.498205,0.498205
2023年6月30日11時55分31秒23f,-0.5528806,0.5528806
2023年6月30日11時55分31秒24f,-0.6186926,0.6186926
2023年6月30日11時55分31秒25f,-0.7020413,0.7020413
2023年6月30日11時55分31秒26f,-0.7522494,0.7522494
2023年6月30日11時55分31秒27f,-0.8449309,0.8449309
2023年6月30日11時55分31秒28f,-0.937051,0.937051
2023年6月30日11時55分31秒29f,-1.032555,1.032555
2023年6月30日11時55分31秒30f,-1.119926,1.119926
2023年6月30日11時55分31秒31f,-1.233992,1.233992
2023年6月30日11時55分31秒32f,-1.307998,1.307998
2023年6月30日11時55分31秒33f,-1.461898,1.461898
2023年6月30日11時55分31秒34f,-1.591867,1.591867
2023年6月30日11時55分31秒35f,-1.692967,1.692967
2023年6月30日11時55分31秒36f,-1.819314,1.819314
2023年6月30日11時55分31秒37f,-1.948678,1.948678
2023年6月30日11時55分31秒38f,-2.040319,2.040319
2023年6月30日11時55分31秒39f,-2.232915,2.232915
2023年6月30日11時55分31秒40f,-2.386622,2.386622
2023年6月30日11時55分31秒41f,-2.479403,2.479403
2023年6月30日11時55分31秒42f,-2.700971,2.700971
2023年6月30日11時55分31秒43f,-2.83469,2.83469
2023年6月30日11時55分31秒44f,-3.008311,3.008311
2023年6月30日11時55分31秒45f,-3.17352,3.17352
2023年6月30日11時55分31秒46f,-3.34465,3.34465
2023年6月30日11時55分31秒47f,-3.566952,3.566952
2023年6月30日11時55分32秒48f,-3.740839,3.740839
2023年6月30日11時55分32秒49f,-4.024763,4.024763
2023年6月30日11時55分32秒50f,-4.189516,4.189516
2023年6月30日11時55分32秒51f,-4.292888,4.292888
2023年6月30日11時55分32秒52f,-4.553431,4.553431
