time stamp,penguin x,penguin y
2023年6月30日11時54分34秒0f,0,0
2023年6月30日11時54分34秒1f,0.001738198,0.001738198
2023年6月30日11時54分34秒2f,0.005509857,0.005509861
2023年6月30日11時54分34秒3f,0.009900536,0.00990054
2023年6月30日11時54分34秒4f,0.01660874,0.01660874
2023年6月30日11時54分35秒5f,0.02523574,0.02523574
2023年6月30日11時54分35秒6f,0.03536596,0.03536595
2023年6月30日11時54分35秒7f,0.04715634,0.04715633
2023年6月30日11時54分35秒8f,0.0609381,0.0609381
2023年6月30日11時54分35秒9f,0.07557625,0.07557624
2023年6月30日11時54分35秒10f,0.09209524,0.09209524
2023年6月30日11時54分35秒11f,0.1104798,0.1104798
2023年6月30日11時54分35秒12f,0.1317807,0.1317807
2023年6月30日11時54分35秒13f,0.150835,0.150835
2023年6月30日11時54分35秒14f,0.1765575,0.1765575
2023年6月30日11時54分35秒15f,0.1944327,0.1971828
2023年6月30日11時54分35秒16f,0.2175312,0.2279807
2023年6月30日11時54分35秒17f,0.236502,0.2554046
2023年6月30日11時54分35秒18f,0.2548509,0.2840627
2023年6月30日11時54分35秒19f,0.2745506,0.3172029
2023年6月30日11時54分35秒20f,0.2931983,0.3508981
2023年6月30日11時54分35秒21f,0.3107413,0.3848616
2023年6月30日11時54分35秒22f,0.3275883,0.4197281
2023年6月30日11時54分35秒23f,0.3441731,0.4563443
2023年6月30日11時54分35秒24f,0.3617833,0.4977429
2023年6月30日11時54分35秒25f,0.3804096,0.5442854
2023年6月30日11時54分35秒26f,0.3961254,0.5859598
2023年6月30日11時54分35秒27f,0.4116023,0.6294487
2023年6月30日11時54分35秒28f,0.4267111,0.6743742
2023年6月30日11時54分35秒29f,0.4439029,0.7284
2023年6月30日11時54分35秒30f,0.4579214,0.7749024
2023年6月30日11時54分35秒31f,0.4733643,0.8289177
2023年6月30日11時54分35秒32f,0.4875345,0.8811244
2023年6月30日11時54分35秒33f,0.5007473,0.9323497
2023年6月30日11時54分35秒34f,0.5144204,0.9880807
2023年6月30日11時54分35秒35f,0.5285627,1.04863
2023年6月30日11時54分35秒36f,0.5416187,1.107299
2023年6月30日11時54分35秒37f,0.555002,1.170371
2023年6月30日11時54分35秒38f,0.5679679,1.234408
2023年6月30日11時54分35秒39f,0.5796102,1.294626
2023年6月30日11時54分35秒40f,0.5933585,1.369048
2023年6月30日11時54分35秒41f,0.6044181,1.431664
2023年6月30日11時54分35秒42f,0.6160724,1.500636
2023年6月30日11時54分35秒43f,0.6282601,1.57599
2023年6月30日11時54分35秒44f,0.6396315,1.652737
2023年6月30日11時54分35秒45f,0.6502206,1.730418
2023年6月30日11時54分35秒46f,0.662252,1.825995
2023年6月30日11時54分35秒47f,0.6723573,1.912636
2023年6月30日11時54分35秒48f,0.6821461,2.002948
2023年6月30日11時54分35秒49f,0.692687,2.107315
2023年6月30日11時54分35秒50f,0.7027828,2.214331
2023年6月30日11時54分35秒51f,0.7138711,2.33989
2023年6月30日11時54分35秒52f,0.7231026,2.451333
2023年6月30日11時54分35秒53f,0.7321091,2.567032
2023年6月30日11時54分35秒54f,0.7413511,2.693159
2023年6月30日11時54分35秒55f,0.7502006,2.821257
2023年6月30日11時54分35秒56f,0.7591271,2.958115
2023年6月30日11時54分35秒57f,0.7687131,3.113571
2023年6月30日11時54分35秒58f,0.7767467,3.251201
2023年6月30日11時54分35秒59f,0.7847518,3.395914
2023年6月30日11時54分35秒60f,0.7917632,3.529512
2023年6月30日11時54分35秒61f,0.8010807,3.716459
2023年6月30日11時54分35秒62f,0.8087332,3.877978
2023年6月30日11時54分35秒63f,0.8173282,4.068645
2023年6月30日11時54分35秒64f,0.8244402,4.234323
2023年6月30日11時54分36秒65f,0.8325909,4.433556
2023年6月30日11時54分36秒66f,0.8395462,4.611814
2023年6月30日11時54分36秒67f,0.8468463,4.807839
2023年6月30日11時54分36秒68f,0.853769,5.002474
2023年6月30日11時54分36秒69f,0.8601962,5.191555
2023年6月30日11時54分36秒70f,0.866494,5.385294
2023年6月30日11時54分36秒71f,0.873877,5.622661
2023年6月30日11時54分36秒72f,0.8799028,5.825019
2023年6月30日11時54分36秒73f,0.8863744,6.051898
2023年6月30日11時54分36秒74f,0.8927954,6.286777
2023年6月30日11時54分36秒75f,0.8983094,6.497136
2023年6月30日11時54分36秒76f,0.9095169,6.73669
2023年6月30日11時54分36秒77f,0.9274562,7.006425
2023年6月30日11時54分36秒78f,0.9475225,7.241313
2023年6月30日11時54分36秒79f,0.9733998,7.481171
2023年6月30日11時54分36秒80f,1.006277,7.742166
2023年6月30日11時54分36秒81f,1.042949,7.987848
2023年6月30日11時54分36秒82f,1.082902,8.227792
2023年6月30日11時54分36秒83f,1.129564,8.472549
2023年6月30日11時54分36秒84f,1.180904,8.720509
2023年6月30日11時54分36秒85f,1.225994,8.93822
2023年6月30日11時54分36秒86f,1.272753,9.194237
2023年6月30日11時54分36秒87f,1.312427,9.421337
2023年6月30日11時54分36秒88f,1.35867,9.694758
2023年6月30日11時54分36秒89f,1.395707,9.924402
2023年6月30日11時54分36秒90f,1.434211,10.17184
2023年6月30日11時54分36秒91f,1.47153,10.42424
2023年6月30日11時54分36秒92f,1.508368,10.68348
2023年6月30日11時54分36秒93f,1.541271,10.92823
2023年6月30日11時54分36秒94f,1.573654,11.18007
2023年6月30日11時54分36秒95f,1.603032,11.42284
2023年6月30日11時54分36秒96f,1.631756,11.67246
2023年6月30日11時54分36秒97f,1.655138,11.88979
2023年6月30日11時54分36秒98f,1.683092,12.16504
2023年6月30日11時54分36秒99f,1.707887,12.42835
2023年6月30日11時54分36秒100f,1.727346,12.64937
2023年6月30日11時54分36秒101f,1.747241,12.89577
2023年6月30日11時54分36秒102f,1.767191,13.16344
2023年6月30日11時54分36秒103f,1.782095,13.38483
2023年6月30日11時54分36秒104f,1.797401,13.63568
2023年6月30日11時54分36秒105f,1.810676,13.88198
2023年6月30日11時54分36秒106f,1.823272,14.14712
2023年6月30日11時54分36秒107f,1.832258,14.36915
2023年6月30日11時54分36秒108f,1.841671,14.64608
2023年6月30日11時54分36秒109f,1.847862,14.87495
2023年6月30日11時54分36秒110f,1.852786,15.11539
2023年6月30日11時54分36秒111f,1.856604,15.39558
2023年6月30日11時54分36秒112f,1.858296,15.63852
2023年6月30日11時54分36秒113f,1.858346,15.88021
2023年6月30日11時54分36秒114f,1.856769,16.12092
2023年6月30日11時54分36秒115f,1.853284,16.38463
2023年6月30日11時54分36秒116f,1.848228,16.63661
2023年6月30日11時54分36秒117f,1.843638,16.87166
2023年6月30日11時54分36秒118f,1.839195,17.10225
2023年6月30日11時54分36秒119f,1.834109,17.37339
2023年6月30日11時54分36秒120f,1.829874,17.60221
2023年6月30日11時54分36秒121f,1.825656,17.83324
2023年6月30日11時54分36秒122f,1.82138,18.07057
2023年6月30日11時54分36秒123f,1.814336,18.35194
2023年6月30日11時54分36秒124f,1.807046,18.57865
2023年6月30日11時54分37秒125f,1.798106,18.8057
2023年6月30日11時54分37秒126f,1.787036,19.04278
2023年6月30日11時54分37秒127f,1.773691,19.28937
2023年6月30日11時54分37秒128f,1.759367,19.52175
2023年6月30日11時54分37秒129f,1.744009,19.74341
2023年6月30日11時54分37秒130f,1.726232,19.97419
2023年6月30日11時54分37秒131f,1.7071,20.19955
2023年6月30日11時54分37秒132f,1.685567,20.43141
2023年6月30日11時54分37秒133f,1.664308,20.64196
2023年6月30日11時54分37秒134f,1.639631,20.86798
2023年6月30日11時54分37秒135f,1.610167,21.11869
2023年6月30日11時54分37秒136f,1.586556,21.3061
2023年6月30日11時54分37秒137f,1.553938,21.54847
2023年6月30日11時54分37秒138f,1.52314,21.76337
2023年6月30日11時54分37秒139f,1.493727,21.95665
2023年6月30日11時54分37秒140f,1.456425,22.18524
2023年6月30日11時54分37秒141f,1.419962,22.39409
2023年6月30日11時54分37秒142f,1.38218,22.59679
2023年6月30日11時54分37秒143f,1.344249,22.78778
2023年6月30日11時54分37秒144f,1.301187,22.99165
2023年6月30日11時54分37秒145f,1.255972,23.19324
2023年6月30日11時54分37秒146f,1.213723,23.37091
2023年6月30日11時54分37秒147f,1.170173,23.54389
2023年6月30日11時54分37秒148f,1.118068,23.73963
2023年6月30日11時54分37秒149f,1.068835,23.91668
2023年6月30日11時54分37秒150f,1.020418,24.08352
2023年6月30日11時54分37秒151f,0.9665995,24.26142
2023年6月30日11時54分37秒152f,0.9117857,24.43537
2023年6月30日11時54分37秒153f,0.8571595,24.60195
2023年6月30日11時54分37秒154f,0.8015957,24.76489
2023年6月30日11時54分37秒155f,0.7446292,24.92566
2023年6月30日11時54分37秒156f,0.6781191,25.10642
2023年6月30日11時54分37秒157f,0.6132597,25.27628
2023年6月30日11時54分37秒158f,0.5500349,25.43595
2023年6月30日11時54分37秒159f,0.4848096,25.59486
2023年6月30日11時54分37秒160f,0.4168147,25.75476
2023年6月30日11時54分37秒161f,0.3479414,25.9145
2023年6月30日11時54分37秒162f,0.2790085,26.07225
2023年6月30日11時54分37秒163f,0.2041842,26.24126
2023年6月30日11時54分37秒164f,0.1360341,26.39328
2023年6月30日11時54分37秒165f,0.06133356,26.55789
2023年6月30日11時54分37秒166f,-0.01482361,26.72375
2023年6月30日11時54分37秒167f,-0.1071236,26.92248
2023年6月30日11時54分37秒168f,-0.1773784,27.07208
2023年6月30日11時54分37秒169f,-0.2603525,27.24688
2023年6月30日11時54分37秒170f,-0.3539629,27.44204
2023年6月30日11時54分37秒171f,-0.4382427,27.61597
2023年6月30日11時54分37秒172f,-0.5246639,27.79258
2023年6月30日11時54分37秒173f,-0.6125823,27.97054
2023年6月30日11時54分37秒174f,-0.7057735,28.15742
2023年6月30日11時54分37秒175f,-0.79827,28.34124
2023年6月30日11時54分37秒176f,-0.8879725,28.51794
2023年6月30日11時54分37秒177f,-0.9813545,28.70031
2023年6月30日11時54分37秒178f,-1.077771,28.88705
2023年6月30日11時54分37秒179f,-1.174544,29.07296
2023年6月30日11時54分37秒180f,-1.285033,29.29072
2023年6月30日11時54分37秒181f,-1.372655,29.46793
2023年6月30日11時54分37秒182f,-1.465282,29.66021
2023年6月30日11時54分37秒183f,-1.564269,29.87116
2023年6月30日11時54分37秒184f,-1.643597,30.04476
2023年6月30日11時54分38秒185f,-1.745325,30.27343
2023年6月30日11時54分38秒186f,-1.826888,30.46181
2023年6月30日11時54分38秒187f,-1.916636,30.67484
2023年6月30日11時54分38秒188f,-2.003293,30.88644
2023年6月30日11時54分38秒189f,-2.080376,31.08006
2023年6月30日11時54分38秒190f,-2.168783,31.30849
2023年6月30日11時54分38秒191f,-2.245514,31.51239
2023年6月30日11時54分38秒192f,-2.31754,31.70925
2023年6月30日11時54分38秒193f,-2.394886,31.92665
2023年6月30日11時54分38秒194f,-2.468593,32.13969
2023年6月30日11時54分38秒195f,-2.549272,32.37949
2023年6月30日11時54分38秒196f,-2.613747,32.57652
2023年6月30日11時54分38秒197f,-2.686029,32.80365
2023年6月30日11時54分38秒198f,-2.766035,33.0621
2023年6月30日11時54分38秒199f,-2.823176,33.25187
2023年6月30日11時54分38秒200f,-2.894245,33.4945
2023年6月30日11時54分38秒201f,-2.957298,33.71578
2023年6月30日11時54分38秒202f,-3.019584,33.94046
2023年6月30日11時54分38秒203f,-3.076885,34.15291
2023年6月30日11時54分38秒204f,-3.1422,34.4018
2023年6月30日11時54分38秒205f,-3.199071,34.62452
2023年6月30日11時54分38秒206f,-3.265547,34.89206
2023年6月30日11時54分38秒207f,-3.317163,35.10553
2023年6月30日11時54分38秒208f,-3.370591,35.33258
2023年6月30日11時54分38秒209f,-3.425944,35.57429
2023年6月30日11時54分38秒210f,-3.486143,35.84438
2023年6月30日11時54分38秒211f,-3.533449,36.06244
