time stamp,penguin x,penguin y
2023年6月30日11時51分52秒0f,0,0
2023年6月30日11時51分52秒1f,0,0.001717158
2023年6月30日11時51分52秒2f,0.00183128,0.005379722
2023年6月30日11時51分52秒3f,0.0049351,0.01003546
2023年6月30日11時51分52秒4f,0.00980092,0.01652322
2023年6月30日11時51分52秒5f,0.01637216,0.02473727
2023年6月30日11時51分52秒6f,0.02482221,0.03487733
2023年6月30日11時51分52秒7f,0.03499881,0.04675003
2023年6月30日11時51分52秒8f,0.04649932,0.05989347
2023年6月30日11時51分52秒9f,0.05969229,0.07473555
2023年6月30日11時51分52秒10f,0.07446308,0.09114756
2023年6月30日11時51分52秒11f,0.09236999,0.1108451
2023年6月30日11時51分52秒12f,0.1091322,0.1291312
2023年6月30日11時51分52秒13f,0.1300573,0.1518001
2023年6月30日11時51分52秒14f,0.1505525,0.1738718
2023年6月30日11時51分52秒15f,0.1743235,0.1993408
2023年6月30日11時51分52秒16f,0.1998493,0.2265683
2023年6月30日11時51分52秒17f,0.2261008,0.2544605
2023年6月30日11時51分52秒18f,0.2563284,0.2864662
2023年6月30日11時51分52秒19f,0.2802682,0.3148947
2023年6月30日11時51分52秒20f,0.3095688,0.3539621
2023年6月30日11時51分52秒21f,0.3320349,0.3876612
2023年6月30日11時51分52秒22f,0.3541283,0.4230881
2023年6月30日11時51分52秒23f,0.3756687,0.459935
2023年6月30日11時51分52秒24f,0.3975964,0.4998741
2023年6月30日11時51分52秒25f,0.4179549,0.5392883
2023年6月30日11時51分52秒26f,0.4410666,0.5867721
2023年6月30日11時51分52秒27f,0.4604218,0.6289105
2023年6月30日11時51分52秒28f,0.482931,0.6807676
2023年6月30日11時51分52秒29f,0.5015884,0.729277
2023年6月30日11時51分52秒30f,0.5213527,0.7780627
2023年6月30日11時51分52秒31f,0.5438265,0.8310274
2023年6月30日11時51分52秒32f,0.5675193,0.8845941
2023年6月30日11時51分52秒33f,0.5918085,0.9374882
2023年6月30日11時51分52秒34f,0.6182464,0.993134
2023年6月30日11時51分52秒35f,0.6492475,1.056388
2023年6月30日11時51分52秒36f,0.6818905,1.117936
2023年6月30日11時51分52秒37f,0.7169257,1.179975
2023年6月30日11時51分52秒38f,0.7628289,1.257201
2023年6月30日11時51分52秒39f,0.8102816,1.333701
2023年6月30日11時51分52秒40f,0.8666677,1.421384
2023年6月30日11時51分52秒41f,0.925236,1.509685
2023年6月30日11時51分52秒42f,0.9896148,1.604176
2023年6月30日11時51分52秒43f,1.048954,1.689248
2023年6月30日11時51分52秒44f,1.132006,1.805868
2023年6月30日11時51分52秒45f,1.20082,1.900726
2023年6月30日11時51分52秒46f,1.276321,2.017003
2023年6月30日11時51分53秒47f,1.344026,2.13381
2023年6月30日11時51分53秒48f,1.408223,2.258322
2023年6月30日11時51分53秒49f,1.469517,2.392578
2023年6月30日11時51分53秒50f,1.522154,2.523542
