time stamp,penguin x,penguin y
2023年6月30日0時53分42秒0f,0,0
2023年6月30日0時53分42秒1f,0.001705237,0.001705237
2023年6月30日0時53分42秒2f,0.004844997,0.004844997
2023年6月30日0時53分42秒3f,0.01064304,0.01064304
2023年6月30日0時53分42秒4f,0.01625216,0.01625215
2023年6月30日0時53分42秒5f,0.02589186,0.02589185
2023年6月30日0時53分42秒6f,0.0357183,0.03571829
2023年6月30日0時53分42秒7f,0.0475756,0.04757559
2023年6月30日0時53分42秒8f,0.06349048,0.06349047
2023年6月30日0時53分42秒9f,0.07380124,0.07380123
2023年6月30日0時53分42秒10f,0.09039944,0.09039944
2023年6月30日0時53分42秒11f,0.1085821,0.1085821
2023年6月30日0時53分42秒12f,0.127896,0.127896
2023年6月30日0時53分42秒13f,0.1520122,0.1520122
2023年6月30日0時53分42秒14f,0.1738975,0.1738975
2023年6月30日0時53分42秒15f,0.2008162,0.2008162
2023年6月30日0時53分42秒16f,0.2275006,0.2275006
2023年6月30日0時53分42秒17f,0.2548538,0.2548538
2023年6月30日0時53分42秒18f,0.2819645,0.2819645
2023年6月30日0時53分42秒19f,0.3175693,0.3175693
2023年6月30日0時53分42秒20f,0.3495193,0.3495193
2023年6月30日0時53分42秒21f,0.3828652,0.3828652
2023年6月30日0時53分42秒22f,0.4181655,0.4181655
2023年6月30日0時53分42秒23f,0.4609874,0.4609874
2023年6月30日0時53分42秒24f,0.4991796,0.5026516
2023年6月30日0時53分42秒25f,0.5290817,0.5382494
2023年6月30日0時53分42秒26f,0.5621747,0.5812703
2023年6月30日0時53分42秒27f,0.5949683,0.6278718
2023年6月30日0時53分42秒28f,0.6256092,0.6739483
2023年6月30日0時53分42秒29f,0.658399,0.7260596
2023年6月30日0時53分42秒30f,0.6857763,0.7719877
2023年6月30日0時53分42秒31f,0.7157803,0.8250619
2023年6月30日0時53分42秒32f,0.7470214,0.8832712
2023年6月30日0時53分42秒33f,0.7726204,0.9334621
2023年6月30日0時53分42秒34f,0.8001401,0.9901887
2023年6月30日0時53分42秒35f,0.8260692,1.046332
2023年6月30日0時53分42秒36f,0.8544484,1.110825
2023年6月30日0時53分42秒37f,0.8820521,1.176614
2023年6月30日0時53分42秒38f,0.9055188,1.235227
2023年6月30日0時53分42秒39f,0.9295015,1.29796
2023年6月30日0時53分43秒40f,0.9544097,1.366148
2023年6月30日0時53分43秒41f,0.9776917,1.432811
2023年6月30日0時53分43秒42f,1.003177,1.509088
2023年6月30日0時53分43秒43f,1.025108,1.577662
2023年6月30日0時53分43秒44f,1.046234,1.646633
2023年6月30日0時53分43秒45f,1.06759,1.719396
2023年6月30日0時53分43秒46f,1.090367,1.803865
2023年6月30日0時53分43秒47f,1.11336,1.89631
2023年6月30日0時53分43秒48f,1.132072,1.977595
2023年6月30日0時53分43秒49f,1.153785,2.07919
2023年6月30日0時53分43秒50f,1.174095,2.181262
2023年6月30日0時53分43秒51f,1.190955,2.272046
2023年6月30日0時53分43秒52f,1.211184,2.388493
2023年6月30日0時53分43秒53f,1.230239,2.505501
2023年6月30日0時53分43秒54f,1.247051,2.615429
2023年6月30日0時53分43秒55f,1.268051,2.761376
2023年6月30日0時53分43秒56f,1.284354,2.881613
2023年6月30日0時53分43秒57f,1.301413,3.014941
2023年6月30日0時53分43秒58f,1.319265,3.162577
2023年6月30日0時53分43秒59f,1.335704,3.30626
2023年6月30日0時53分43秒60f,1.350927,3.446715
2023年6月30日0時53分43秒61f,1.368284,3.615568
2023年6月30日0時53分43秒62f,1.382319,3.759389
2023年6月30日0時53分43秒63f,1.399004,3.939301
2023年6月30日0時53分43秒64f,1.414555,4.115602
2023年6月30日0時53分43秒65f,1.428728,4.284374
2023年6月30日0時53分43秒66f,1.441986,4.450078
2023年6月30日0時53分43秒67f,1.455822,4.631429
2023年6月30日0時53分43秒68f,1.46995,4.825505
2023年6月30日0時53分43秒69f,1.483403,5.019035
2023年6月30日0時53分43秒70f,1.496722,5.219561
2023年6月30日0時53分43秒71f,1.511214,5.447772
2023年6月30日0時53分43秒72f,1.523063,5.642823
2023年6月30日0時53分43秒73f,1.53466,5.842238
2023年6月30日0時53分43秒74f,1.548417,6.08925
2023年6月30日0時53分43秒75f,1.559486,6.296664
2023年6月30日0時53分43秒76f,1.57144,6.530319
2023年6月30日0時53分43秒77f,1.582496,6.755619
2023年6月30日0時53分43秒78f,1.595068,7.022605
2023年6月30日0時53分43秒79f,1.605121,7.244979
2023年6月30日0時53分43秒80f,1.615274,7.469487
2023年6月30日0時53分43秒81f,1.627368,7.748037
2023年6月30日0時53分43秒82f,1.636566,7.959806
2023年6月30日0時53分43秒83f,1.646614,8.200791
2023年6月30日0時53分43秒84f,1.65789,8.471111
2023年6月30日0時53分43秒85f,1.667526,8.71175
2023年6月30日0時53分43秒86f,1.677778,8.96766
2023年6月30日0時53分43秒87f,1.68568,9.17312
2023年6月30日0時53分43秒88f,1.694634,9.412293
2023年6月30日0時53分43秒89f,1.704097,9.67197
2023年6月30日0時53分43秒90f,1.712861,9.91573
2023年6月30日0時53分43秒91f,1.722466,10.19019
2023年6月30日0時53分43秒92f,1.730427,10.42074
2023年6月30日0時53分43秒93f,1.739529,10.69155
2023年6月30日0時53分43秒94f,1.74771,10.93826
2023年6月30日0時53分43秒95f,1.755309,11.17364
2023年6月30日0時53分43秒96f,1.763474,11.43003
2023年6月30日0時53分43秒97f,1.770623,11.6606
2023年6月30日0時53分43秒98f,1.778935,11.93236
2023年6月30日0時53分43秒99f,1.786037,12.17089
2023年6月30日0時53分44秒100f,1.793429,12.42251
2023年6月30日0時53分44秒101f,1.799943,12.65033
2023年6月30日0時53分44秒102f,1.807432,12.91575
2023年6月30日0時53分44秒103f,1.814342,13.16735
2023年6月30日0時53分44秒104f,1.820177,13.38272
2023年6月30日0時53分44秒105f,1.827539,13.66183
2023年6月30日0時53分44秒106f,1.832977,13.8708
