Success,FishNumber,ClearTime,Distance,Sensitivity,LimitedTime,MaximumSpeed,Acceleration,Friction
False,0,undefined,92.5679,3,60,15,0.05,0.98
False,3,undefined,92.49243,3,120,20,0.075,0.98
