Success,FishNumber,ClearTime,Distance,Sensitivity,LimitedTime,MaximumSpeed,Acceleration,Friction
False,1,undefined,0,3,60,15,0.05,0.98
False,0,undefined,0,3,120,20,0.075,0.98
False,0,undefined,0,3,180,25,0.1,0.98
