Success,FishNumber,ClearTime,Distance,Sensitivity,LimitedTime,MaximumSpeed,Acceleration,Friction
False,0,undefined,5.682117,3,60,15,0.05,0.98
False,1,undefined,56.08218,3,120,20,0.075,0.98
